日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/08/24,臺股期貨,外資及陸資,69309,231405065,69234,231135683,75,269382,21831,73158690,23469,78648134,-1638,-5489444
2023/08/25,臺股期貨,自營商,12327,40829856,10800,35730172,1527,5099684,5935,19494726,9257,30407589,-3322,-10912863
2023/08/25,臺股期貨,投信,997,3275410,831,2732024,166,543386,13682,44948106,12238,40204278,1444,4743828
2023/08/25,臺股期貨,外資及陸資,68671,227463289,77135,255600679,-8464,-28137391,16965,55732952,28801,94616403,-11836,-38883451
2023/08/28,臺股期貨,自營商,8320,27417825,8859,29198195,-539,-1780371,4797,15819385,8660,28560226,-3863,-12740841
2023/08/28,臺股期貨,投信,672,2216842,303,998441,369,1218401,14059,46372206,12246,40392206,1813,5980000
2023/08/28,臺股期貨,外資及陸資,68404,225337311,64858,213647138,3546,11690173,18812,62048669,27102,89392481,-8290,-27343812
2023/08/29,臺股期貨,自營商,8746,28934060,8545,28267363,201,666697,4277,14215885,7946,26414243,-3669,-12198358
2023/08/29,臺股期貨,投信,469,1556485,326,1079105,143,477380,13875,46131600,11919,39628291,1956,6503309
2023/08/29,臺股期貨,外資及陸資,49169,162582612,47252,156266698,1917,6315913,20580,68422976,25436,84568605,-4856,-16145629
2023/08/30,臺股期貨,自營商,10652,35589077,10046,33555486,606,2033592,4586,15333773,7641,25551544,-3055,-10217771
2023/08/30,臺股期貨,投信,582,1946612,909,3040198,-327,-1093587,13120,43881152,11491,38432799,1629,5448353
2023/08/30,臺股期貨,外資及陸資,50089,167298072,51927,173463895,-1838,-6165823,19316,64602811,26010,86991902,-6694,-22389091
2023/08/31,臺股期貨,自營商,9137,30448649,7726,25747178,1411,4701470,5782,19215672,7535,25042065,-1753,-5826393
2023/08/31,臺股期貨,投信,110,365833,786,2614196,-676,-2248363,12604,41895696,11651,38727924,953,3167772
2023/08/31,臺股期貨,外資及陸資,51503,171684926,53260,177534857,-1757,-5849931,17908,59525079,26359,87616440,-8451,-28091361
2023/09/01,臺股期貨,自營商,8401,27972542,9623,32047752,-1222,-4075209,4271,14219648,7249,24136662,-2978,-9917014
2023/09/01,臺股期貨,投信,384,1278745,377,1256946,7,21799,12609,41990492,11649,38793500,960,3196992
2023/09/01,臺股期貨,外資及陸資,49276,164025774,46938,156248748,2338,7777026,20616,68654333,26722,88988743,-6106,-20334410
2023/09/04,臺股期貨,自營商,9866,32893239,9520,31766368,346,1126871,5111,17146022,7695,25817144,-2584,-8671122
2023/09/04,臺股期貨,投信,614,2059793,356,1190303,258,869489,12653,42458407,11435,38371286,1218,4087121
2023/09/04,臺股期貨,外資及陸資,57779,192594876,55165,183877606,2614,8717270,22171,74395498,25661,86106996,-3490,-11711498
2023/09/05,臺股期貨,自營商,6333,21207235,5031,16847234,1302,4360001,6274,21016427,7567,25348872,-1293,-4332445
2023/09/05,臺股期貨,投信,216,723686,296,990682,-80,-266996,12568,42107827,11430,38295072,1138,3812755
2023/09/05,臺股期貨,外資及陸資,29254,97956038,31994,107135668,-2740,-9179630,19662,65874359,25892,86747576,-6230,-20873217
2023/09/06,臺股期貨,自營商,9289,31098816,9821,32875774,-532,-1776958,5879,19648042,7620,25467868,-1741,-5819826
2023/09/06,臺股期貨,投信,144,481483,260,870092,-116,-388609,12458,41642111,11436,38225974,1022,3416137
2023/09/06,臺股期貨,外資及陸資,46994,157340964,45896,153662589,1098,3678375,20040,66985137,25172,84139126,-5132,-17153989
2023/09/07,臺股期貨,自營商,9302,30916929,9497,31560330,-195,-643401,6050,20038715,7907,26189712,-1857,-6150997
2023/09/07,臺股期貨,投信,334,1106785,567,1880450,-233,-773665,12498,41400875,11709,38787233,789,2613642
2023/09/07,臺股期貨,外資及陸資,52586,174860507,50568,168138702,2018,6721805,21270,70457829,24380,80760532,-3110,-10302703
2023/09/08,臺股期貨,自營商,9160,30275452,9606,31751117,-446,-1475666,5823,19285545,8249,27321451,-2426,-8035906
2023/09/08,臺股期貨,投信,687,2275625,303,1001848,384,1273777,12891,42700148,11718,38814703,1173,3885445
2023/09/08,臺股期貨,外資及陸資,48948,161752392,49725,164306779,-777,-2554387,22299,73862524,26186,86737882,-3887,-12875358
2023/09/11,臺股期貨,自營商,11989,39464869,11790,38800889,199,663980,5769,18949545,8014,26323068,-2245,-7373523
2023/09/11,臺股期貨,投信,954,3133497,727,2386322,227,747175,13386,43973010,11986,39374010,1400,4599000
2023/09/11,臺股期貨,外資及陸資,60917,200662609,63631,209588854,-2714,-8926245,21306,69989419,27907,91673801,-6601,-21684382
2023/09/12,臺股期貨,自營商,11703,38621166,13195,43546208,-1492,-4925042,4220,13982216,7953,26352903,-3733,-12370687
2023/09/12,臺股期貨,投信,862,2855469,624,2060972,238,794497,13356,44261778,11718,38833452,1638,5428326
2023/09/12,臺股期貨,外資及陸資,56882,187634113,51398,169535908,5484,18098205,24702,81860888,25825,85582721,-1123,-3721833
2023/09/13,臺股期貨,自營商,11373,37696087,10843,35943366,530,1752721,4650,15415574,7804,25873231,-3154,-10457657
2023/09/13,臺股期貨,投信,739,2450233,294,973640,445,1476593,13789,45721556,11706,38814755,2083,6906801
2023/09/13,臺股期貨,外資及陸資,47956,158955308,47500,157443969,456,1511338,24905,82578358,25572,84790515,-667,-2212157
2023/09/14,臺股期貨,自營商,9865,32994295,10911,36513998,-1046,-3519704,4189,14101432,8163,27482282,-3974,-13380850
2023/09/14,臺股期貨,投信,844,2841657,368,1235304,476,1606353,13859,46666006,11300,38049360,2559,8616646
2023/09/14,臺股期貨,外資及陸資,54886,183460521,52280,174765818,2606,8694703,31689,106700231,29753,100182710,1936,6517521
2023/09/15,臺股期貨,自營商,11540,38896343,9483,31972015,2057,6924328,5775,19522234,7926,26794807,-2151,-7272573
2023/09/15,臺股期貨,投信,374,1264429,985,3325515,-611,-2061086,13140,44423797,11191,37834549,1949,6589248
2023/09/15,臺股期貨,外資及陸資,52382,176570699,55786,188031327,-3404,-11460627,29206,98740944,30675,103705876,-1469,-4964932
2023/09/18,臺股期貨,自營商,17005,57031924,14771,49523148,2234,7508777,8393,28052168,8903,29765514,-510,-1713346
2023/09/18,臺股期貨,投信,14805,49591770,14410,48264936,395,1326834,13804,46160649,11460,38323045,2344,7837604
2023/09/18,臺股期貨,外資及陸資,86680,290585379,92022,308544115,-5342,-17958736,26792,89591532,33603,112360685,-6811,-22769153
2023/09/19,臺股期貨,自營商,16268,54278625,15870,52937922,398,1340703,8770,29131559,8895,29553884,-125,-422325
2023/09/19,臺股期貨,投信,10275,34264118,10610,35381045,-335,-1116927,13581,45145924,11572,38467450,2009,6678474
2023/09/19,臺股期貨,外資及陸資,69092,230529193,70680,235835140,-1588,-5305947,25366,84307922,33765,112218714,-8399,-27910792
2023/09/20,臺股期貨,自營商,17729,58826616,18602,61730971,-873,-2904355,3048,10097423,4514,14953667,-1466,-4856244
2023/09/20,臺股期貨,投信,428,1418794,203,672692,225,746102,13857,45908241,11623,38506999,2234,7401242
2023/09/20,臺股期貨,外資及陸資,55284,183485974,54640,181335491,644,2150483,22161,73419397,28326,93844038,-6165,-20424641
2023/09/21,臺股期貨,自營商,11093,36371331,10269,33679970,824,2691361,4592,14979787,5434,17726281,-842,-2746494
2023/09/21,臺股期貨,投信,673,2195568,264,861451,409,1334117,14288,46610314,11645,37988319,2643,8621995
2023/09/21,臺股期貨,外資及陸資,60095,197324513,65616,215355115,-5521,-18030602,22686,74006418,35889,117077225,-13203,-43070807
2023/09/22,臺股期貨,自營商,8075,26316211,7994,26042287,81,273924,4940,16146956,5748,18787490,-808,-2640534
2023/09/22,臺股期貨,投信,378,1235178,187,610237,191,624941,14478,47325686,11644,38061907,2834,9263779
2023/09/22,臺股期貨,外資及陸資,54264,176767142,51685,168385719,2579,8381423,21558,70468693,32171,105160433,-10613,-34691740
2023/09/25,臺股期貨,自營商,6880,22588061,8262,27133515,-1382,-4545454,3934,12953316,6009,19786136,-2075,-6832820
2023/09/25,臺股期貨,投信,530,1745187,169,556485,361,1188702,14560,47946080,11365,37424945,3195,10521135
2023/09/25,臺股期貨,外資及陸資,48013,157569139,42439,139276722,5574,18292417,22773,74991293,27810,91578054,-5037,-16586761
2023/09/26,臺股期貨,自營商,12523,40959390,10761,35182449,1762,5776941,4925,16060176,5339,17409983,-414,-1349807
2023/09/26,臺股期貨,投信,94,306482,515,1678831,-421,-1372349,14413,47000793,11639,37954779,2774,9046014
