日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2023/08/24,小型臺指期貨,外資及陸資,108388,90423757,108721,90677380,-333,-253623,3880,3250543,3257,2728747,623,521796
2023/08/25,小型臺指期貨,自營商,9998,8281235,15178,12575621,-5180,-4294387,3540,2908214,11375,9337473,-7835,-6429259
2023/08/25,小型臺指期貨,投信,0,0,8,6569,-8,-6569,113,92807,11,9034,102,83773
2023/08/25,小型臺指期貨,外資及陸資,104871,86883640,123110,102045362,-18239,-15161722,1619,1329683,12299,10101456,-10680,-8771773
2023/08/28,小型臺指期貨,自營商,10856,8947298,9637,7940033,1219,1007264,2809,2316228,9417,7759829,-6608,-5443601
2023/08/28,小型臺指期貨,投信,1,825,2,1649,-1,-825,111,91531,10,8246,101,83285
2023/08/28,小型臺指期貨,外資及陸資,114243,94069459,106068,87333468,8175,6735992,5561,4585593,8066,6651246,-2505,-2065653
2023/08/29,小型臺指期貨,自營商,14090,11653590,9663,7989185,4427,3664405,5148,4278241,7301,6062408,-2153,-1784167
2023/08/29,小型臺指期貨,投信,0,0,0,0,0,0,111,92263,10,8312,101,83951
2023/08/29,小型臺指期貨,外資及陸資,85642,70801055,78932,65244856,6710,5556200,3956,3288257,5819,4836629,-1863,-1548372
2023/08/30,小型臺指期貨,自營商,11924,9954470,10399,8680863,1525,1273607,7087,5924096,7756,6479182,-669,-555086
2023/08/30,小型臺指期貨,投信,1,836,0,0,1,836,111,92813,9,7525,102,85288
2023/08/30,小型臺指期貨,外資及陸資,85899,71717756,84027,70140753,1872,1577003,4148,3468321,4052,3387845,96,80476
2023/08/31,小型臺指期貨,自營商,10004,8335869,11498,9576229,-1494,-1240360,5457,4533897,7184,5964406,-1727,-1430509
2023/08/31,小型臺指期貨,投信,0,0,2,1662,-2,-1662,111,92241,11,9141,100,83100
2023/08/31,小型臺指期貨,外資及陸資,82051,68399983,88434,73714973,-6383,-5314989,1213,1008327,7500,6232301,-6287,-5223974
2023/09/01,小型臺指期貨,自營商,11914,9917751,11710,9740467,204,177284,6042,5029030,7553,6283004,-1511,-1253974
2023/09/01,小型臺指期貨,投信,7,5829,0,0,7,5829,118,98241,11,9158,107,89083
2023/09/01,小型臺指期貨,外資及陸資,83693,69650220,79702,66317868,3991,3332353,3442,2865636,5766,4800437,-2324,-1934801
2023/09/04,小型臺指期貨,自營商,12515,10433514,11948,9952429,567,481085,7809,6548371,8945,7498320,-1136,-949949
2023/09/04,小型臺指期貨,投信,0,0,0,0,0,0,118,98990,11,9228,107,89762
2023/09/04,小型臺指期貨,外資及陸資,99147,82617782,90762,75599932,8385,7017849,9482,7954500,3429,2876514,6053,5077986
2023/09/05,小型臺指期貨,自營商,5280,4419878,5884,4924802,-604,-504924,6515,5455475,8211,6872817,-1696,-1417342
2023/09/05,小型臺指期貨,投信,0,0,2,1676,-2,-1676,116,97162,11,9214,105,87948
2023/09/05,小型臺指期貨,外資及陸資,45639,38204345,53315,44630299,-7676,-6425954,3474,2909917,5097,4269171,-1623,-1359254
2023/09/06,小型臺指期貨,自營商,9412,7878216,8343,6980723,1069,897493,5312,4437965,6371,5319249,-1059,-881284
2023/09/06,小型臺指期貨,投信,0,0,0,0,0,0,116,96935,11,9192,105,87743
2023/09/06,小型臺指期貨,外資及陸資,71363,59732866,75699,63356292,-4336,-3623427,1026,857405,6867,5738425,-5841,-4881020
2023/09/07,小型臺指期貨,自營商,10069,8368583,12393,10299879,-2324,-1931296,4467,3698804,8166,6758109,-3699,-3059305
2023/09/07,小型臺指期貨,投信,0,0,0,0,0,0,116,96065,11,9110,105,86955
2023/09/07,小型臺指期貨,外資及陸資,80921,67287167,83595,69501767,-2674,-2214600,181,149876,8712,7214736,-8531,-7064860
2023/09/08,小型臺指期貨,自營商,7770,6419119,8425,6959352,-655,-540233,4362,3611429,8224,6806171,-3862,-3194742
2023/09/08,小型臺指期貨,投信,4,3313,0,0,4,3313,120,99372,11,9109,109,90263
2023/09/08,小型臺指期貨,外資及陸資,76691,63347044,73403,60625524,3288,2721520,2374,1965903,7617,6307638,-5243,-4341735
2023/09/11,小型臺指期貨,自營商,12723,10471304,13149,10816540,-426,-345236,6669,5477022,10885,8935145,-4216,-3458123
2023/09/11,小型臺指期貨,投信,0,0,3,2464,-3,-2464,120,98550,14,11498,106,87052
2023/09/11,小型臺指期貨,外資及陸資,87524,72110070,95190,78415005,-7666,-6304935,267,219263,13176,10820824,-12909,-10601561
2023/09/12,小型臺指期貨,自營商,15679,12931660,12517,10324210,3162,2607451,6832,5659615,7902,6542252,-1070,-882637
2023/09/12,小型臺指期貨,投信,50,41372,4,3295,46,38078,166,137516,14,11599,152,125917
2023/09/12,小型臺指期貨,外資及陸資,84716,69836440,74518,61425564,10198,8410876,6268,5192973,8955,7419053,-2687,-2226080
2023/09/13,小型臺指期貨,自營商,11859,9827300,10579,8766129,1280,1061172,7440,6166307,7445,6167335,-5,-1028
2023/09/13,小型臺指期貨,投信,6,4968,0,0,6,4968,172,142565,14,11605,158,130960
2023/09/13,小型臺指期貨,外資及陸資,70199,58171990,71305,59082971,-1106,-910981,4058,3363842,7770,6440766,-3712,-3076924
2023/09/14,小型臺指期貨,自營商,19373,16193215,12473,10423573,6900,5769642,15452,13003969,9461,7959886,5991,5044083
2023/09/14,小型臺指期貨,投信,1,842,0,0,1,842,172,144773,13,10943,159,133830
2023/09/14,小型臺指期貨,外資及陸資,86429,72181845,72175,60248941,14254,11932904,15727,13238879,5173,4354489,10554,8884390
2023/09/15,小型臺指期貨,自營商,12302,10366567,12025,10131647,277,234920,14736,12454469,7532,6362715,7204,6091754
2023/09/15,小型臺指期貨,投信,15,12678,12,10142,3,2536,174,147070,12,10144,162,136926
2023/09/15,小型臺指期貨,外資及陸資,71467,60210938,77686,65441687,-6219,-5230749,9842,8318511,5503,4651178,4339,3667333
2023/09/18,小型臺指期貨,自營商,15175,12727335,23363,19600534,-8188,-6873198,9849,8231129,8461,7069427,1388,1161702
2023/09/18,小型臺指期貨,投信,63,52719,59,49320,4,3399,181,151327,15,12545,166,138782
2023/09/18,小型臺指期貨,外資及陸資,78011,65426264,90225,75686239,-12214,-10259975,2513,2099886,10388,8681706,-7875,-6581820
2023/09/19,小型臺指期貨,自營商,14966,12488795,17877,14913615,-2911,-2424819,9180,7623064,10651,8845930,-1471,-1222866
2023/09/19,小型臺指期貨,投信,62,51609,63,52392,-1,-783,181,150420,16,13297,165,137123
2023/09/19,小型臺指期貨,外資及陸資,75262,62813682,78526,65534225,-3264,-2720542,1587,1317710,12726,10570269,-11139,-9252559
2023/09/20,小型臺指期貨,自營商,17025,14120248,18243,15134074,-1218,-1013826,2265,1875559,8373,6932919,-6108,-5057360
2023/09/20,小型臺指期貨,投信,0,0,6,4980,-6,-4980,177,146600,18,14909,159,131691
2023/09/20,小型臺指期貨,外資及陸資,70454,58463790,71118,59007067,-664,-543277,921,762813,10533,8723936,-9612,-7961123
2023/09/21,小型臺指期貨,自營商,11847,9726883,12639,10368919,-792,-642036,5379,4386762,11479,9361478,-6100,-4974716
2023/09/21,小型臺指期貨,投信,13,10603,9,7340,4,3263,183,149246,20,16311,163,132935
2023/09/21,小型臺指期貨,外資及陸資,83890,68941522,100584,82605014,-16694,-13663492,5,4078,20243,16509242,-20238,-16505164
2023/09/22,小型臺指期貨,自營商,9390,7647873,9040,7358536,350,289337,3941,3220281,9503,7762768,-5562,-4542487
2023/09/22,小型臺指期貨,投信,0,0,4,3255,-4,-3255,179,146279,20,16344,159,129935
2023/09/22,小型臺指期貨,外資及陸資,84089,68472735,77698,63276247,6391,5196488,1333,1089315,15224,12441036,-13891,-11351721
2023/09/25,小型臺指期貨,自營商,11327,9297964,8461,6942906,2866,2355058,5392,4437930,8548,7033208,-3156,-2595278
2023/09/25,小型臺指期貨,投信,0,0,2,1642,-2,-1642,177,145715,20,16465,157,129250
