日期,賣權成交量,買權成交量,買賣權成交量比率%,賣權未平倉量,買權未平倉量,買賣權未平倉量比率%,"<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">"
139711.0,201643.0,69.29,470082.0,603650.0,77.87,,
100538.0,128729.0,78.1,457293.0,585796.0,78.06,,
168298.0,199588.0,84.32,437690.0,556420.0,78.66,,
79478.0,96923.0,82.0,411143.0,519544.0,79.14,,
124564.0,168385.0,73.98,386877.0,490975.0,78.8,,
90995.0,116284.0,78.25,362545.0,443536.0,81.74,,
122995.0,207747.0,59.2,336021.0,415118.0,80.95,,
162972.0,223764.0,72.83,298152.0,342347.0,87.09,,
193284.0,207197.0,93.29,629806.0,596777.0,105.53,,
153305.0,192863.0,79.49,654710.0,563953.0,116.09,,
193484.0,278791.0,69.4,660564.0,554678.0,119.09,,
99634.0,109744.0,90.79,633102.0,566551.0,111.75,,
110282.0,111247.0,99.13,633736.0,550085.0,115.21,,
106571.0,137191.0,77.68,626945.0,528654.0,118.59,,
133256.0,129264.0,103.09,611748.0,516855.0,118.36,,
185260.0,194282.0,95.36,576274.0,510918.0,112.79,,
248556.0,311347.0,79.83,548927.0,511643.0,107.29,,
94662.0,105975.0,89.32,510426.0,539308.0,94.64,,
122781.0,167856.0,73.15,499030.0,516457.0,96.63,,
115648.0,162295.0,71.26,489472.0,589445.0,83.04,,
294343.0,397813.0,73.99,491977.0,570042.0,86.31,,
63420.0,113561.0,55.85,509149.0,546591.0,93.15,,
118103.0,169069.0,69.85,502240.0,524139.0,95.82,,
151752.0,205864.0,73.71,491209.0,491903.0,99.86,,
127667.0,232295.0,54.96,483289.0,470092.0,102.81,,
243087.0,380144.0,63.95,454825.0,437439.0,103.97,,
135915.0,138195.0,98.35,414835.0,451525.0,91.87,,
88495.0,124658.0,70.99,372650.0,430039.0,86.65,,
171032.0,320975.0,53.29,361808.0,402832.0,89.82,,
142853.0,203074.0,70.35,327397.0,346709.0,94.43,,
145714.0,209511.0,69.55,278970.0,309210.0,90.22,,
151161.0,287907.0,52.5,710712.0,539116.0,131.83,,
170488.0,275685.0,61.84,693414.0,551184.0,125.8,,
147905.0,222208.0,66.56,667111.0,570272.0,116.98,,
132067.0,190238.0,69.42,656757.0,579184.0,113.39,,
193851.0,288832.0,67.12,640929.0,574708.0,111.52,,
131600.0,161657.0,81.41,619045.0,587499.0,105.37,,
171539.0,242957.0,70.6,603574.0,585815.0,103.03,,
238133.0,361998.0,65.78,563197.0,616280.0,91.39,,
144704.0,214597.0,67.43,523332.0,627170.0,83.44,,
149799.0,171612.0,87.29,502556.0,634815.0,79.17,,
165804.0,264575.0,62.67,425391.0,624223.0,68.15,,
104683.0,153094.0,68.38,408952.0,598852.0,68.29,,
113625.0,203829.0,55.75,383085.0,568792.0,67.35,,
94448.0,188831.0,50.02,369120.0,541611.0,68.15,,
