date,TXF_外資及陸資,TXF_投信,TXF_自營商,MXF_外資及陸資,MXF_投信,MXF_自營商
2023-08-23,-3006,540,-5105,6128,102,-5578
2023-08-24,-1638,1278,-4444,623,110,-4275
2023-08-25,-11836,1444,-3322,-10680,102,-7835
2023-08-28,-8290,1813,-3863,-2505,101,-6608
2023-08-29,-4856,1956,-3669,-1863,101,-2153
2023-08-30,-6694,1629,-3055,96,102,-669
2023-08-31,-8451,953,-1753,-6287,100,-1727
2023-09-01,-6106,960,-2978,-2324,107,-1511
2023-09-04,-3490,1218,-2584,6053,107,-1136
2023-09-05,-6230,1138,-1293,-1623,105,-1696
2023-09-06,-5132,1022,-1741,-5841,105,-1059
2023-09-07,-3110,789,-1857,-8531,105,-3699
2023-09-08,-3887,1173,-2426,-5243,109,-3862
2023-09-11,-6601,1400,-2245,-12909,106,-4216
2023-09-12,-1123,1638,-3733,-2687,152,-1070
2023-09-13,-667,2083,-3154,-3712,158,-5
2023-09-14,1936,2559,-3974,10554,159,5991
2023-09-15,-1469,1949,-2151,4339,162,7204
2023-09-18,-6811,2344,-510,-7875,166,1388
2023-09-19,-8399,2009,-125,-11139,165,-1471
2023-09-20,-6165,2234,-1466,-9612,159,-6108
2023-09-21,-13203,2643,-842,-20238,163,-6100
2023-09-22,-10613,2834,-808,-13891,159,-5562
2023-09-25,-5037,3195,-2075,-3851,157,-3156
2023-09-26,-6116,2774,-414,-10487,157,-3499
2023-09-27,-8249,2783,-304,-10702,159,-3973
2023-09-28,-10084,3012,172,-9150,160,-3132
2023-10-02,-7012,3555,-958,-904,165,-1565
2023-10-03,-9837,3335,767,-12425,159,-567
2023-10-04,-8471,2889,-314,-15030,159,-2860
2023-10-05,-2594,3169,-1033,-4103,160,2176
2023-10-06,-4058,3339,-915,-2908,161,2819
2023-10-11,-4032,3789,-369,1437,165,4986
2023-10-12,-877,3814,-666,707,168,6151
2023-10-13,-468,3718,648,-6201,167,4184
2023-10-16,-1420,3218,523,-11360,183,699
2023-10-17,-1226,3352,-975,-8863,187,-840
2023-10-18,-8166,1377,-1614,-4306,169,-9997
2023-10-19,-5306,1606,-2379,-2048,163,-10153
2023-10-20,-4579,1847,-2483,-3356,162,-10188
2023-10-23,-10479,1889,-2331,-10229,163,-11231
2023-10-24,-11897,2394,-2401,-4995,153,-10215
2023-10-25,-8177,2594,-2514,-738,156,-8929
2023-10-26,-12384,2184,-1955,-15481,156,-8867
2023-10-27,-9142,2343,-1724,-3128,156,-7824
2023-10-30,-12483,2386,-1304,-4320,156,-6717
2023-10-31,-15297,2108,-637,-13574,156,-9167
2023-11-01,-13396,2892,-1028,-5747,156,-8031
2023-11-02,-3904,3621,-2246,8746,158,-5156
2023-11-03,662,3966,-2685,9871,161,-4900
2023-11-06,5672,4996,-3689,13767,161,-5303
2023-11-07,7942,5359,-3964,17097,161,-5750
2023-11-08,5468,5541,-2347,17247,165,-3088
2023-11-09,5085,5419,-2268,18001,161,-2153
2023-11-10,8721,4814,-1577,18570,164,-2289
2023-11-13,3132,4950,-1089,11327,155,-3583
2023-11-14,5238,4559,-4532,13775,156,-3410
2023-11-15,5590,3894,-5807,6472,156,276
2023-11-16,5469,4587,-5649,5495,154,-140
2023-11-17,3897,5150,-5100,5769,154,-586
2023-11-20,1877,5685,-4566,1184,154,18
2023-11-21,2450,6686,-4854,9724,158,833
2023-11-22,-6348,7020,-2589,106,157,-737
2023-11-23,-2439,7579,-2594,3213,157,-1284
2023-11-24,-4240,7701,-1457,1292,157,-134
2023-11-27,-1356,7176,-2978,-1475,154,-1532
2023-11-28,-149,7536,-2906,8692,150,-10
2023-11-29,-4478,7730,-1810,-324,150,341
2023-11-30,-3608,8801,-2569,4176,154,-294
2023-12-01,-832,8830,-2825,6612,154,-1236
2023-12-04,-4353,8493,-1674,-702,154,-1065
2023-12-05,-5906,8549,-1598,-6200,183,-2581
2023-12-06,-6349,7664,-1571,-4063,183,-1858
2023-12-07,-7320,7423,-869,-7926,182,-1809
2023-12-08,-5568,7904,-2308,-120,184,-2812
2023-12-11,-7881,8619,-1227,-3441,180,-525
2023-12-12,-9496,8241,-534,-5463,182,1098
2023-12-13,-10159,8528,-1134,-3415,187,-434
2023-12-14,-9355,8802,-584,3431,188,2343
2023-12-15,-8253,7616,-1657,2447,198,2235
2023-12-18,-12100,8365,-844,-2699,190,1197
2023-12-19,-17223,7836,1959,-8072,188,-220
2023-12-20,-11465,7994,-1486,6193,190,1331
2023-12-21,-17563,8321,-982,-5151,188,-3835
2023-12-22,-15750,8534,-904,-4288,188,-3017
2023-12-25,-14288,8770,-900,-1097,184,-1793
2023-12-26,-11895,8841,-2195,6281,184,327
2023-12-27,-12235,9937,-966,9748,190,3064
2023-12-28,-13618,10268,-525,6212,189,638
2023-12-29,-16712,10190,986,2031,190,2021
2024-01-02,-17429,10029,1441,-4767,192,832
2024-01-03,-24035,8811,595,-14231,201,-4624
2024-01-04,-20470,8763,-959,-4903,197,-4941
2024-01-05,-19682,8501,186,-6516,193,-4131
2024-01-08,-18791,8720,419,-4441,194,-4097
2024-01-09,-24260,9195,524,-8762,196,-4164
2024-01-10,-24555,8429,-85,-10141,194,-7112
2024-01-11,-25309,9081,678,-4406,198,-4060
2024-01-12,-26404,8504,1285,-7712,199,-8457
2024-01-15,-21768,7460,695,-2518,187,-5463
2024-01-16,-17248,3928,-1463,-4747,194,-10783
2024-01-17,-14532,2830,-1741,-7756,202,-12095
2024-01-18,-13650,3150,-2150,-1124,203,-12889
2024-01-19,-2613,3691,-964,13860,205,-6597
2024-01-22,-6854,4081,821,6953,246,-6094
2024-01-23,-1447,3895,-1163,13416,214,-5044
2024-01-24,-483,3227,-2015,14272,222,-4038
2024-01-25,3388,3180,-1801,14509,202,-449
2024-01-26,4431,3101,-2743,15068,202,16
2024-01-29,3375,3031,-2009,19667,201,1946
2024-01-30,874,3155,-1844,10638,200,752
2024-01-31,-1526,2869,-2598,4080,195,-2052
2024-02-01,-3521,2992,-2497,7429,189,-1763
2024-02-02,-6136,3057,-2016,11143,190,-1371
2024-02-05,-5494,3293,-1575,9423,194,-241
2024-02-15,-2653,3546,-2784,14534,198,4205
2024-02-16,-6703,3990,-2186,9889,201,1839
2024-02-19,-3471,4142,-3097,13949,200,2844
2024-02-20,2742,4213,-4210,18128,196,2500
2024-02-21,2421,4225,-6023,1537,196,-2784
2024-02-22,3085,4280,-6346,5392,198,-1357
2024-02-23,4146,4774,-5836,319,198,-1325
2024-02-26,6151,4275,-6346,5907,199,-197
2024-02-27,3799,5343,-6455,-2458,198,-712
2024-02-29,3622,5732,-6369,4615,202,745
2024-03-01,-1493,7331,-6442,-193,202,1157
2024-03-04,3987,7010,-6602,11246,203,5511
2024-03-05,3331,6686,-6049,5852,203,4900
2024-03-06,3333,6189,-5056,10074,205,7090
2024-03-07,3055,5924,-5357,5114,205,6283
2024-03-08,-1566,4842,-4214,-2765,205,4817
2024-03-11,-6557,4562,-4280,2108,203,2600
2024-03-12,-8109,4544,-3599,7405,203,5788
2024-03-13,-9132,4555,-2517,4421,200,4442
2024-03-14,-8598,4403,-2605,7451,204,2041
2024-03-15,-11698,3819,-925,-345,202,-2
2024-03-18,-10404,3789,-1933,5393,197,1937
2024-03-19,-10976,4799,-2073,2952,185,784
2024-03-20,-4788,4863,-6250,3603,183,-4519
2024-03-21,4132,4997,-6289,11803,185,-918
2024-03-22,-5442,5241,-5533,1119,181,-2732
2024-03-25,-5186,5176,-6278,3441,181,-3771
2024-03-26,-6476,4592,-6301,2511,183,-4459
2024-03-27,-3340,4842,-7448,5022,195,-852
2024-03-28,-5729,4998,-5927,-2095,203,-234
2024-03-29,-754,6319,-7217,2980,203,951
2024-04-01,-4323,6910,-5930,-1894,192,2763
2024-04-02,3312,7954,-8622,11605,201,4210
2024-04-03,-7466,7730,-6772,-1845,207,2592
2024-04-08,-5854,8002,-7476,5987,210,3257
2024-04-09,5164,8361,-9258,12010,211,7026
2024-04-10,-1710,8306,-7214,818,215,7360
2024-04-11,-12964,8551,-5988,-1988,215,3419
2024-04-12,-12009,8733,-5093,-1768,224,3625
2024-04-15,-17803,8827,-4433,-7746,222,-2136
2024-04-16,-18386,9206,-3310,-10377,226,-8935
2024-04-17,-17952,9068,-2650,6630,267,-11529
2024-04-18,-14700,9114,-2328,6518,346,-8875
2024-04-19,-19777,9799,-1438,-4007,336,-15259
2024-04-22,-16400,10164,-2855,665,294,-15411
2024-04-23,-12505,10709,-5069,8906,271,-16307
2024-04-24,-13333,11376,-3592,13852,302,-11406
2024-04-25,-17160,11346,-3276,-271,222,-13000
2024-04-26,-13888,12068,-3751,12903,224,-10903
2024-04-29,-15041,12617,-3431,16462,319,-6968
2024-04-30,-13735,12690,-3768,12153,313,-8719
2024-05-02,-17541,12815,-3220,6046,241,-9802
2024-05-03,-19457,12885,-2350,3956,241,-8217
2024-05-06,-18758,13111,-1931,8975,242,-5945
2024-05-07,-19225,13370,-2490,8666,242,-6816
2024-05-08,-15603,13504,-3996,14285,242,-5458
2024-05-09,-17216,13294,-3535,7005,128,-7229
2024-05-10,-14869,13252,-4191,16712,119,-4058
2024-05-13,-14517,13487,-3562,6952,115,-2634
2024-05-14,-10044,12654,-4868,12733,45,-2258
2024-05-15,-3481,12541,-7863,8314,48,-2719
2024-05-16,-8488,11490,-7030,2655,49,-3886
2024-05-17,-9648,10605,-6882,1895,50,-5295
2024-05-20,-9254,10176,-6517,-2076,51,-4296
2024-05-21,-8235,10267,-7413,-984,99,-4843
2024-05-22,-5663,10891,-6937,7098,99,-1615
2024-05-23,-8725,10972,-6281,3518,139,-2800
2024-05-24,-8402,10909,-6314,636,141,-2729
2024-05-27,-9297,11121,-6120,3906,145,-1125
2024-05-28,-10160,11846,-6432,3300,144,-1039
2024-05-29,-15465,11464,-4931,-9164,143,-4498
2024-05-30,-14412,11080,-4789,-8594,143,-6040
2024-05-31,-14059,11131,-4000,-11401,139,-5579
2024-06-03,-16699,12386,-4873,-4118,137,-2765
2024-06-04,-19089,12172,-4980,-15037,134,-3532
2024-06-05,-16446,12239,-6830,-10337,136,-1362
2024-06-06,-10528,11986,-7990,-3263,136,1714
2024-06-07,-10606,11449,-6675,-9405,136,3618
2024-06-11,-15850,11525,-5600,-12382,137,3811
2024-06-12,-11139,11862,-6789,-1740,145,8152
2024-06-13,-13318,12280,-6090,-6793,150,7967
2024-06-14,-12855,12449,-6879,-6457,147,8800
2024-06-17,-13192,12433,-6893,-11983,153,8720
