name,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,slippage_pts
rsi2_lo,1998-07-22,2026-07-31,6956,3.83,8.08,0.474,-16.84,2.72,11.0,189,6.5,70.4,0.616,2.23,7.13,1.0
rsi2_lo,1998-07-22,2026-07-31,6956,3.66,8.08,0.452,-17.39,2.61,11.0,189,6.5,69.8,0.601,2.18,11.9,2.0
rsi2_ls,1998-07-22,2026-07-31,6956,2.26,10.29,0.22,-34.14,1.45,17.8,279,9.6,67.0,0.278,1.34,3.8,0.0
rsi2_ls,1998-07-22,2026-07-31,6956,1.97,10.3,0.192,-35.57,1.3,17.8,279,9.6,67.0,0.261,1.31,11.89,1.0
rsi2_ls,1998-07-22,2026-07-31,6956,1.69,10.3,0.164,-36.97,1.15,17.8,279,9.6,66.7,0.243,1.29,19.99,2.0
boll_20_2_ls,1998-07-22,2026-07-31,6956,-0.25,11.38,-0.022,-55.58,0.19,18.1,89,3.1,70.8,0.068,1.04,1.66,0.0
boll_20_2_ls,1998-07-22,2026-07-31,6956,-0.38,11.38,-0.033,-56.18,0.13,18.1,89,3.1,70.8,0.04,1.02,5.22,1.0
boll_20_2_ls,1998-07-22,2026-07-31,6956,-0.5,11.38,-0.044,-56.76,0.07,18.1,89,3.1,70.8,0.013,1.01,8.79,2.0
tom_1_3,1998-07-22,2026-07-31,6956,3.79,10.66,0.356,-28.39,2.17,19.4,337,11.6,58.8,0.379,1.38,3.77,0.0
tom_1_3,1998-07-22,2026-07-31,6956,3.5,10.66,0.329,-28.71,2.03,19.4,337,11.6,58.8,0.367,1.37,11.84,1.0
tom_1_3,1998-07-22,2026-07-31,6956,3.22,10.66,0.302,-29.13,1.89,19.4,337,11.6,58.8,0.355,1.36,19.91,2.0
foreign_z60_ls,1998-07-22,2026-07-31,6956,-0.36,7.9,-0.045,-33.03,-0.03,9.6,63,2.2,47.6,-0.047,0.97,0.63,0.0
foreign_z60_ls,1998-07-22,2026-07-31,6956,-0.39,7.9,-0.049,-33.06,-0.05,9.6,63,2.2,47.6,-0.06,0.96,1.45,1.0
foreign_z60_ls,1998-07-22,2026-07-31,6956,-0.41,7.9,-0.052,-33.09,-0.07,9.6,63,2.2,47.6,-0.073,0.95,2.26,2.0
foreign_level_ls,1998-07-22,2026-07-31,6956,-3.33,7.98,-0.417,-67.25,-2.07,10.4,24,0.8,33.3,-2.778,0.15,0.41,0.0
foreign_level_ls,1998-07-22,2026-07-31,6956,-3.35,7.98,-0.42,-67.28,-2.08,10.4,24,0.8,33.3,-2.796,0.15,0.98,1.0
foreign_level_ls,1998-07-22,2026-07-31,6956,-3.37,7.98,-0.422,-67.32,-2.1,10.4,24,0.8,33.3,-2.814,0.15,1.55,2.0
foreign_level_lo,1998-07-22,2026-07-31,6956,0.24,0.72,0.34,-1.42,1.85,0.5,12,0.4,41.7,0.603,4.6,0.1,0.0
