name,start,end,n_days,ann_ret_pct,ann_vol_pct,sharpe,max_dd_pct,t_stat,exposure_pct,n_trades,trades_per_yr,win_rate_pct,avg_trade_pct,profit_factor,total_cost_pct,window
foreign_level_lo,2018-01-02,2026-07-31,2086,0.8,1.3,0.611,-1.47,1.81,1.7,12,1.4,41.7,0.596,4.49,0.24,OOS
pcr_oi_ls,1998-07-22,2017-12-29,4870,0.16,17.23,0.009,-63.75,0.43,56.9,261,12.9,42.9,0.125,1.11,16.71,IS
pcr_oi_ls,2018-01-02,2026-07-31,2086,11.69,17.48,0.669,-28.2,2.12,72.1,270,31.1,48.5,0.441,1.55,7.1,OOS
basis_z120_ls,1998-07-22,2017-12-29,4870,10.93,13.95,0.784,-27.45,3.66,30.0,692,34.1,59.0,0.349,1.62,31.31,IS
basis_z120_ls,2018-01-02,2026-07-31,2086,1.47,12.77,0.115,-28.65,0.52,29.7,315,36.2,54.3,0.066,1.11,6.66,OOS
basis_z120_nodiv_ls,1998-07-22,2017-12-29,4870,6.74,10.95,0.616,-27.16,2.93,17.4,451,22.2,58.8,0.338,1.63,20.37,IS
basis_z120_nodiv_ls,2018-01-02,2026-07-31,2086,-1.99,10.21,-0.195,-26.48,-0.43,16.8,213,24.5,48.4,-0.058,0.9,4.51,OOS
mtx_retail_z120_ls,1998-07-22,2017-12-29,4870,0.0,0.0,,0.0,,0.0,0,0.0,,,,0.0,IS
mtx_retail_z120_ls,2018-01-02,2026-07-31,2086,-0.46,7.11,-0.065,-18.17,-0.09,7.8,71,8.2,49.3,-0.025,0.97,1.26,OOS
overnight_long,1998-07-22,2017-12-29,4870,-4.75,14.2,-0.335,-78.51,-1.22,100.0,4869,240.0,50.0,-0.0161,0.0,201.05,IS
overnight_long,2018-01-02,2026-07-31,2086,14.88,15.32,0.971,-23.79,2.9,100.0,2086,240.0,56.9,0.0627,,43.95,OOS
intraday_short,1998-07-22,2017-12-29,4870,-13.08,20.33,-0.643,-95.02,-2.65,100.0,4869,240.0,47.4,-0.0498,0.0,201.05,IS
intraday_short,2018-01-02,2026-07-31,2086,-7.41,12.8,-0.579,-54.93,-1.59,100.0,2086,240.0,46.8,-0.0287,0.0,43.95,OOS
